Running Ez Detect

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8986    0.033    0.000    0.033    0.000 {method 'strftime' of 'datetime.date' objects}
        8    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
     1940    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      102    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
      647    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'timetuple' of 'datetime.datetime' objects}
        6    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      114    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.009    0.009    0.009    0.009 {method 'write' of 'lxml.etree._ElementTree' objects}


Whole execution time in seconds...
2569.4130234718323
